Chr	Contig	Contig length	Window	Start	End	Window length	Number of filtered sites	Number of SNPs
3R	NW_023496828.1	1609687	5	1128490	1293003	164514	125000	85066
3R	NW_023496828.1	1609687	6	1293004	1526808	233805	125000	80062
X	NW_023496843.1	2338044	0	1	482167	482167	125000	65571
X	NW_023496843.1	2338044	1	482168	956744	474577	125000	67466
X	NW_023496843.1	2338044	2	956745	1397445	440701	125000	67796
X	NW_023496843.1	2338044	3	1397446	1691299	293854	125000	66072
X	NW_023496843.1	2338044	4	1691300	1855262	163963	125000	73631
X	NW_023496843.1	2338044	5	1855263	2044310	189048	125000	74631
X	NW_023496843.1	2338044	6	2044311	2219863	175553	125000	75072
3R	NW_023496822.1	2090180	0	1	276566	276566	125000	79801
3R	NW_023496822.1	2090180	1	276567	449953	173387	125000	83004
3R	NW_023496822.1	2090180	2	449954	633751	183798	125000	82184
3R	NW_023496822.1	2090180	3	633752	889080	255329	125000	79255
3R	NW_023496822.1	2090180	4	889081	1134722	245642	125000	79097
3R	NW_023496822.1	2090180	5	1134723	1303644	168922	125000	77583
3R	NW_023496822.1	2090180	6	1303645	1461356	157712	125000	77931
3R	NW_023496822.1	2090180	7	1461357	1652840	191484	125000	80373
3R	NW_023496822.1	2090180	8	1652841	1882666	229826	125000	78162
X	NW_023496842.1	2783430	0	1	494150	494150	125000	60830
X	NW_023496842.1	2783430	1	494151	675864	181714	125000	64756
X	NW_023496842.1	2783430	2	675865	961900	286036	125000	61158
X	NW_023496842.1	2783430	3	961901	1183976	222076	125000	62008
X	NW_023496842.1	2783430	4	1183977	1519602	335626	125000	59324
X	NW_023496842.1	2783430	5	1519603	1835477	315875	125000	61467
X	NW_023496842.1	2783430	6	1835478	2001905	166428	125000	60910
X	NW_023496842.1	2783430	7	2001906	2190993	189088	125000	59703
X	NW_023496842.1	2783430	8	2190994	2421325	230332	125000	59682
X	NW_023496842.1	2783430	9	2421326	2629819	208494	125000	63696
3R	NW_023496819.1	2609782	0	1	350427	350427	125000	78108
3R	NW_023496819.1	2609782	1	350428	528676	178249	125000	79596
3R	NW_023496819.1	2609782	2	528677	691318	162642	125000	81796
3R	NW_023496819.1	2609782	3	691319	863145	171827	125000	83666
3R	NW_023496819.1	2609782	4	863146	1035042	171897	125000	85206
3R	NW_023496819.1	2609782	5	1035043	1190233	155191	125000	85093
3R	NW_023496819.1	2609782	6	1190234	1363420	173187	125000	80532
3R	NW_023496819.1	2609782	7	1363421	1546652	183232	125000	82110
3R	NW_023496819.1	2609782	8	1546653	1708882	162230	125000	78987
3R	NW_023496819.1	2609782	9	1708883	1885974	177092	125000	82208
3R	NW_023496819.1	2609782	10	1885975	2067156	181182	125000	80999
3R	NW_023496819.1	2609782	11	2067157	2234361	167205	125000	78652
3R	NW_023496819.1	2609782	12	2234362	2406675	172314	125000	81134
3R	NW_023496819.1	2609782	13	2406676	2570515	163840	125000	80410
3L	NW_023496810.1	2387461	0	1	161715	161715	125000	87242
3L	NW_023496810.1	2387461	1	161716	331573	169858	125000	86816
3L	NW_023496810.1	2387461	2	331574	489630	158057	125000	84389
3L	NW_023496810.1	2387461	3	489631	657632	168002	125000	83135
3L	NW_023496810.1	2387461	4	657633	814120	156488	125000	90116
3L	NW_023496810.1	2387461	5	814121	975691	161571	125000	86227
3L	NW_023496810.1	2387461	6	975692	1140048	164357	125000	86029
3L	NW_023496810.1	2387461	7	1140049	1308098	168050	125000	84097
3L	NW_023496810.1	2387461	8	1308099	1473777	165679	125000	89365
3L	NW_023496810.1	2387461	9	1473778	1634297	160520	125000	85194
3L	NW_023496810.1	2387461	10	1634298	1802072	167775	125000	86666
3L	NW_023496810.1	2387461	11	1802073	1969692	167620	125000	84733
3L	NW_023496810.1	2387461	12	1969693	2140781	171089	125000	85705
3L	NW_023496810.1	2387461	13	2140782	2319659	178878	125000	70753
X	NW_023496841.1	3772065	0	1	175757	175757	125000	73661
X	NW_023496841.1	3772065	1	175758	388351	212594	125000	81087
X	NW_023496841.1	3772065	2	388352	587619	199268	125000	84229
X	NW_023496841.1	3772065	3	587620	768173	180554	125000	78488
X	NW_023496841.1	3772065	4	768174	960281	192108	125000	77338
X	NW_023496841.1	3772065	5	960282	1128816	168535	125000	73112
X	NW_023496841.1	3772065	6	1128817	1324914	196098	125000	80380
X	NW_023496841.1	3772065	7	1324915	1514998	190084	125000	76517
X	NW_023496841.1	3772065	8	1514999	1696355	181357	125000	79889
X	NW_023496841.1	3772065	9	1696356	1881175	184820	125000	82690
X	NW_023496841.1	3772065	10	1881176	2062757	181582	125000	82437
X	NW_023496841.1	3772065	11	2062758	2268242	205485	125000	81140
X	NW_023496841.1	3772065	12	2268243	2468505	200263	125000	82731
X	NW_023496841.1	3772065	13	2468506	2659702	191197	125000	78075
X	NW_023496841.1	3772065	14	2659703	2835477	175775	125000	78703
X	NW_023496841.1	3772065	15	2835478	3056099	220622	125000	74390
X	NW_023496841.1	3772065	16	3056100	3252284	196185	125000	79512
X	NW_023496841.1	3772065	17	3252285	3432680	180396	125000	75728
X	NW_023496841.1	3772065	18	3432681	3640641	207961	125000	76312
4	NC_050699.1	2568912	0	1	231513	231513	125000	70744
4	NC_050699.1	2568912	1	231514	435022	203509	125000	70024
4	NC_050699.1	2568912	2	435023	639078	204056	125000	69858
4	NC_050699.1	2568912	3	639079	820051	180973	125000	70561
4	NC_050699.1	2568912	4	820052	1028621	208570	125000	70785
4	NC_050699.1	2568912	5	1028622	1219988	191367	125000	70564
4	NC_050699.1	2568912	6	1219989	1416317	196329	125000	71202
4	NC_050699.1	2568912	7	1416318	1612252	195935	125000	70830
4	NC_050699.1	2568912	8	1612253	1802918	190666	125000	72480
4	NC_050699.1	2568912	9	1802919	1988130	185212	125000	72638
4	NC_050699.1	2568912	10	1988131	2199791	211661	125000	71870
4	NC_050699.1	2568912	11	2199792	2409798	210007	125000	72875
3R	NW_023496817.1	3397172	0	1	174620	174620	125000	80455
3R	NW_023496817.1	3397172	1	174621	355860	181240	125000	81141
3R	NW_023496817.1	3397172	2	355861	539122	183262	125000	81713
3R	NW_023496817.1	3397172	3	539123	717093	177971	125000	81814
3R	NW_023496817.1	3397172	4	717094	923245	206152	125000	84121
3R	NW_023496817.1	3397172	5	923246	1110364	187119	125000	82125
3R	NW_023496817.1	3397172	6	1110365	1315291	204927	125000	84587
3R	NW_023496817.1	3397172	7	1315292	1493744	178453	125000	80888
3R	NW_023496817.1	3397172	8	1493745	1832113	338369	125000	80476
3R	NW_023496817.1	3397172	9	1832114	2052909	220796	125000	81518
3R	NW_023496817.1	3397172	10	2052910	2231480	178571	125000	83062
3R	NW_023496817.1	3397172	11	2231481	2432516	201036	125000	82609
3R	NW_023496817.1	3397172	12	2432517	2594483	161967	125000	79604
3R	NW_023496817.1	3397172	13	2594484	2769701	175218	125000	81116
3R	NW_023496817.1	3397172	14	2769702	2947609	177908	125000	80233
3R	NW_023496817.1	3397172	15	2947610	3112328	164719	125000	79360
3R	NW_023496817.1	3397172	16	3112329	3278483	166155	125000	79343
3R	NW_023496816.1	4075554	0	1	560782	560782	125000	76428
3R	NW_023496816.1	4075554	1	560783	1204908	644126	125000	74323
3R	NW_023496816.1	4075554	2	1204909	1374771	169863	125000	84261
3R	NW_023496816.1	4075554	3	1374772	1554888	180117	125000	81015
3R	NW_023496816.1	4075554	4	1554889	1728877	173989	125000	85155
3R	NW_023496816.1	4075554	5	1728878	1893761	164884	125000	84939
3R	NW_023496816.1	4075554	6	1893762	2069239	175478	125000	82911
3R	NW_023496816.1	4075554	7	2069240	2234052	164813	125000	81143
3R	NW_023496816.1	4075554	8	2234053	2404286	170234	125000	82824
3R	NW_023496816.1	4075554	9	2404287	2574314	170028	125000	82532
3R	NW_023496816.1	4075554	10	2574315	2743693	169379	125000	82907
3R	NW_023496816.1	4075554	11	2743694	2969170	225477	125000	80344
3R	NW_023496816.1	4075554	12	2969171	3141061	171891	125000	83881
3R	NW_023496816.1	4075554	13	3141062	3319590	178529	125000	85830
3R	NW_023496816.1	4075554	14	3319591	3540240	220650	125000	82604
3R	NW_023496816.1	4075554	15	3540241	4038312	498072	125000	75733
3R	NW_023496836.1	6194228	0	1	675737	675737	125000	75993
3R	NW_023496836.1	6194228	1	675738	859082	183345	125000	79400
3R	NW_023496836.1	6194228	2	859083	1073877	214795	125000	78868
3R	NW_023496836.1	6194228	3	1073878	1249008	175131	125000	79864
3R	NW_023496836.1	6194228	4	1249009	1410006	160998	125000	80074
3R	NW_023496836.1	6194228	5	1410007	1586030	176024	125000	77997
3R	NW_023496836.1	6194228	6	1586031	1764834	178804	125000	78608
3R	NW_023496836.1	6194228	7	1764835	1929542	164708	125000	85600
3R	NW_023496836.1	6194228	8	1929543	2106218	176676	125000	81800
3R	NW_023496836.1	6194228	9	2106219	2285281	179063	125000	80254
3R	NW_023496836.1	6194228	10	2285282	2460734	175453	125000	79464
3R	NW_023496836.1	6194228	11	2460735	2684500	223766	125000	81540
3R	NW_023496836.1	6194228	12	2684501	2863615	179115	125000	78338
3R	NW_023496836.1	6194228	13	2863616	3029260	165645	125000	79856
3R	NW_023496836.1	6194228	14	3029261	3201856	172596	125000	80012
3R	NW_023496836.1	6194228	15	3201857	3369414	167558	125000	79399
3R	NW_023496836.1	6194228	16	3369415	3556094	186680	125000	78158
3R	NW_023496836.1	6194228	17	3556095	3722185	166091	125000	79711
3R	NW_023496836.1	6194228	18	3722186	3908655	186470	125000	83090
3R	NW_023496836.1	6194228	19	3908656	4142719	234064	125000	81611
3R	NW_023496836.1	6194228	20	4142720	4296183	153464	125000	82342
3R	NW_023496836.1	6194228	21	4296184	4474573	178390	125000	78758
3R	NW_023496836.1	6194228	22	4474574	4663163	188590	125000	76977
3R	NW_023496836.1	6194228	23	4663164	5922648	1259485	125000	72760
3R	NW_023496837.1	5179314	0	1	216388	216388	125000	73158
3R	NW_023496837.1	5179314	1	216389	379949	163561	125000	71090
3R	NW_023496837.1	5179314	2	379950	587473	207524	125000	75228
3R	NW_023496837.1	5179314	3	587474	786840	199367	125000	74692
3R	NW_023496837.1	5179314	4	786841	947035	160195	125000	82109
3R	NW_023496837.1	5179314	5	947036	1108931	161896	125000	83497
3R	NW_023496837.1	5179314	6	1108932	1275577	166646	125000	84160
3R	NW_023496837.1	5179314	7	1275578	1450570	174993	125000	86082
3R	NW_023496837.1	5179314	8	1450571	1615619	165049	125000	86105
3R	NW_023496837.1	5179314	9	1615620	1780463	164844	125000	87373
3R	NW_023496837.1	5179314	10	1780464	2013631	233168	125000	87743
3R	NW_023496837.1	5179314	11	2013632	2231627	217996	125000	88147
3R	NW_023496837.1	5179314	12	2231628	2404430	172803	125000	86872
3R	NW_023496837.1	5179314	13	2404431	2579105	174675	125000	83064
3R	NW_023496837.1	5179314	14	2579106	2754650	175545	125000	88693
3R	NW_023496837.1	5179314	15	2754651	2929959	175309	125000	84957
3R	NW_023496837.1	5179314	16	2929960	3099798	169839	125000	90194
3R	NW_023496837.1	5179314	17	3099799	3265187	165389	125000	84247
3R	NW_023496837.1	5179314	18	3265188	3442603	177416	125000	85970
3R	NW_023496837.1	5179314	19	3442604	3602280	159677	125000	80492
3R	NW_023496837.1	5179314	20	3602281	3763413	161133	125000	83754
3R	NW_023496837.1	5179314	21	3763414	3959045	195632	125000	87588
3R	NW_023496837.1	5179314	22	3959046	4129772	170727	125000	85227
3R	NW_023496837.1	5179314	23	4129773	4297646	167874	125000	83589
3R	NW_023496837.1	5179314	24	4297647	4462721	165075	125000	85873
3R	NW_023496837.1	5179314	25	4462722	4650112	187391	125000	84793
3R	NW_023496837.1	5179314	26	4650113	5056923	406811	125000	80920
X	NW_023496846.1	6492416	0	1	172541	172541	125000	72378
X	NW_023496846.1	6492416	1	172542	355507	182966	125000	77056
X	NW_023496846.1	6492416	2	355508	533380	177873	125000	72928
X	NW_023496846.1	6492416	3	533381	696998	163618	125000	75035
X	NW_023496846.1	6492416	4	696999	867259	170261	125000	78157
X	NW_023496846.1	6492416	5	867260	1048264	181005	125000	77653
X	NW_023496846.1	6492416	6	1048265	1214948	166684	125000	78188
X	NW_023496846.1	6492416	7	1214949	1379630	164682	125000	77481
X	NW_023496846.1	6492416	8	1379631	1542255	162625	125000	77288
X	NW_023496846.1	6492416	9	1542256	1709207	166952	125000	81537
X	NW_023496846.1	6492416	10	1709208	1913775	204568	125000	76243
X	NW_023496846.1	6492416	11	1913776	2087882	174107	125000	80683
X	NW_023496846.1	6492416	12	2087883	2264515	176633	125000	75215
X	NW_023496846.1	6492416	13	2264516	2435886	171371	125000	79631
X	NW_023496846.1	6492416	14	2435887	2661596	225710	125000	80222
X	NW_023496846.1	6492416	15	2661597	2838037	176441	125000	76515
X	NW_023496846.1	6492416	16	2838038	3012825	174788	125000	77121
X	NW_023496846.1	6492416	17	3012826	3213791	200966	125000	79152
X	NW_023496846.1	6492416	18	3213792	3396019	182228	125000	80415
X	NW_023496846.1	6492416	19	3396020	3571435	175416	125000	77262
X	NW_023496846.1	6492416	20	3571436	3805077	233642	125000	73286
X	NW_023496846.1	6492416	21	3805078	3979671	174594	125000	79827
X	NW_023496846.1	6492416	22	3979672	4149055	169384	125000	77933
X	NW_023496846.1	6492416	23	4149056	4326471	177416	125000	79042
X	NW_023496846.1	6492416	24	4326472	4505887	179416	125000	80635
X	NW_023496846.1	6492416	25	4505888	4693823	187936	125000	76264
X	NW_023496846.1	6492416	26	4693824	4865511	171688	125000	80089
X	NW_023496846.1	6492416	27	4865512	5072325	206814	125000	76126
X	NW_023496846.1	6492416	28	5072326	5263751	191426	125000	78640
X	NW_023496846.1	6492416	29	5263752	5440727	176976	125000	77648
X	NW_023496846.1	6492416	30	5440728	5618726	177999	125000	78508
X	NW_023496846.1	6492416	31	5618727	5792495	173769	125000	78443
X	NW_023496846.1	6492416	32	5792496	5980011	187516	125000	80421
X	NW_023496846.1	6492416	33	5980012	6177794	197783	125000	82124
X	NW_023496846.1	6492416	34	6177795	6365465	187671	125000	82581
3R	NW_023496835.1	6689929	0	1	523965	523965	125000	80690
3R	NW_023496835.1	6689929	1	523966	708075	184110	125000	82219
3R	NW_023496835.1	6689929	2	708076	876533	168458	125000	81150
3R	NW_023496835.1	6689929	3	876534	1049153	172620	125000	82669
3R	NW_023496835.1	6689929	4	1049154	1208130	158977	125000	80731
3R	NW_023496835.1	6689929	5	1208131	1372022	163892	125000	79644
3R	NW_023496835.1	6689929	6	1372023	1545087	173065	125000	84056
3R	NW_023496835.1	6689929	7	1545088	1717983	172896	125000	83386
3R	NW_023496835.1	6689929	8	1717984	1874420	156437	125000	82122
3R	NW_023496835.1	6689929	9	1874421	2039377	164957	125000	83706
3R	NW_023496835.1	6689929	10	2039378	2213010	173633	125000	86294
3R	NW_023496835.1	6689929	11	2213011	2373100	160090	125000	83930
3R	NW_023496835.1	6689929	12	2373101	2538437	165337	125000	83002
3R	NW_023496835.1	6689929	13	2538438	2700063	161626	125000	83702
3R	NW_023496835.1	6689929	14	2700064	2870754	170691	125000	80881
3R	NW_023496835.1	6689929	15	2870755	3044516	173762	125000	81753
3R	NW_023496835.1	6689929	16	3044517	3310910	266394	125000	78168
3R	NW_023496835.1	6689929	17	3310911	3535323	224413	125000	80274
3R	NW_023496835.1	6689929	18	3535324	3701006	165683	125000	81317
3R	NW_023496835.1	6689929	19	3701007	3880077	179071	125000	80697
3R	NW_023496835.1	6689929	20	3880078	4074685	194608	125000	84115
3R	NW_023496835.1	6689929	21	4074686	4250535	175850	125000	84046
3R	NW_023496835.1	6689929	22	4250536	4816672	566137	125000	75629
3R	NW_023496835.1	6689929	23	4816673	5385748	569076	125000	78391
3R	NW_023496835.1	6689929	24	5385749	5563169	177421	125000	85054
3R	NW_023496835.1	6689929	25	5563170	5734418	171249	125000	81153
3R	NW_023496835.1	6689929	26	5734419	5964876	230458	125000	77721
3R	NW_023496835.1	6689929	27	5964877	6315515	350639	125000	78414
3R	NW_023496835.1	6689929	28	6315516	6494768	179253	125000	81866
3R	NW_023496835.1	6689929	29	6494769	6662999	168231	125000	81546
2R	NW_023496808.1	9130409	0	1	175273	175273	125000	82770
2R	NW_023496808.1	9130409	1	175274	337631	162358	125000	83254
2R	NW_023496808.1	9130409	2	337632	498371	160740	125000	82715
2R	NW_023496808.1	9130409	3	498372	672897	174526	125000	81063
2R	NW_023496808.1	9130409	4	672898	849026	176129	125000	84676
2R	NW_023496808.1	9130409	5	849027	1013598	164572	125000	82891
2R	NW_023496808.1	9130409	6	1013599	1202762	189164	125000	82886
2R	NW_023496808.1	9130409	7	1202763	1373362	170600	125000	83156
2R	NW_023496808.1	9130409	8	1373363	1537981	164619	125000	83202
2R	NW_023496808.1	9130409	9	1537982	1709148	171167	125000	85215
2R	NW_023496808.1	9130409	10	1709149	1884596	175448	125000	81946
2R	NW_023496808.1	9130409	11	1884597	2064306	179710	125000	83998
2R	NW_023496808.1	9130409	12	2064307	2255280	190974	125000	85887
2R	NW_023496808.1	9130409	13	2255281	2427693	172413	125000	82744
2R	NW_023496808.1	9130409	14	2427694	2598240	170547	125000	84842
2R	NW_023496808.1	9130409	15	2598241	2771544	173304	125000	81000
2R	NW_023496808.1	9130409	16	2771545	2931234	159690	125000	82376
2R	NW_023496808.1	9130409	17	2931235	3086267	155033	125000	83276
2R	NW_023496808.1	9130409	18	3086268	3257479	171212	125000	84912
2R	NW_023496808.1	9130409	19	3257480	3427104	169625	125000	81602
2R	NW_023496808.1	9130409	20	3427105	3616340	189236	125000	82054
2R	NW_023496808.1	9130409	21	3616341	3821356	205016	125000	83139
2R	NW_023496808.1	9130409	22	3821357	3990660	169304	125000	81950
2R	NW_023496808.1	9130409	23	3990661	4149343	158683	125000	83100
2R	NW_023496808.1	9130409	24	4149344	4328719	179376	125000	81095
2R	NW_023496808.1	9130409	25	4328720	4490899	162180	125000	82580
2R	NW_023496808.1	9130409	26	4490900	4668065	177166	125000	77905
2R	NW_023496808.1	9130409	27	4668066	4866071	198006	125000	75702
2R	NW_023496808.1	9130409	28	4866072	5027060	160989	125000	79983
2R	NW_023496808.1	9130409	29	5027061	5187676	160616	125000	81485
2R	NW_023496808.1	9130409	30	5187677	5380956	193280	125000	76619
2R	NW_023496808.1	9130409	31	5380957	5545615	164659	125000	81449
2R	NW_023496808.1	9130409	32	5545616	5717757	172142	125000	79569
2R	NW_023496808.1	9130409	33	5717758	5949961	232204	125000	77933
2R	NW_023496808.1	9130409	34	5949962	6132467	182506	125000	78883
2R	NW_023496808.1	9130409	35	6132468	6283401	150934	125000	79694
2R	NW_023496808.1	9130409	36	6283402	6457335	173934	125000	78428
2R	NW_023496808.1	9130409	37	6457336	6615307	157972	125000	76462
2R	NW_023496808.1	9130409	38	6615308	6779317	164010	125000	75198
2R	NW_023496808.1	9130409	39	6779318	6962446	183129	125000	77042
2R	NW_023496808.1	9130409	40	6962447	7126353	163907	125000	72031
2R	NW_023496808.1	9130409	41	7126354	7281950	155597	125000	71165
2R	NW_023496808.1	9130409	42	7281951	7567890	285940	125000	72732
2R	NW_023496808.1	9130409	43	7567891	7803327	235437	125000	69729
2R	NW_023496808.1	9130409	44	7803328	8011998	208671	125000	67340
2R	NW_023496808.1	9130409	45	8011999	9130400	1118402	121295	58248
X	NW_023496845.1	13739618	0	1	176925	176925	125000	63367
X	NW_023496845.1	13739618	1	176926	345874	168949	125000	61490
X	NW_023496845.1	13739618	2	345875	497106	151232	125000	69848
X	NW_023496845.1	13739618	3	497107	648708	151602	125000	73816
X	NW_023496845.1	13739618	4	648709	823213	174505	125000	71384
X	NW_023496845.1	13739618	5	823214	982631	159418	125000	72687
X	NW_023496845.1	13739618	6	982632	1149060	166429	125000	74173
X	NW_023496845.1	13739618	7	1149061	1309357	160297	125000	71556
X	NW_023496845.1	13739618	8	1309358	1475170	165813	125000	73902
X	NW_023496845.1	13739618	9	1475171	1649272	174102	125000	78882
X	NW_023496845.1	13739618	10	1649273	1808686	159414	125000	79687
X	NW_023496845.1	13739618	11	1808687	1980368	171682	125000	80258
X	NW_023496845.1	13739618	12	1980369	2140139	159771	125000	77945
X	NW_023496845.1	13739618	13	2140140	2307796	167657	125000	80807
X	NW_023496845.1	13739618	14	2307797	2466848	159052	125000	79619
X	NW_023496845.1	13739618	15	2466849	2630151	163303	125000	77100
X	NW_023496845.1	13739618	16	2630152	2796202	166051	125000	81287
X	NW_023496845.1	13739618	17	2796203	2969883	173681	125000	81916
X	NW_023496845.1	13739618	18	2969884	3143061	173178	125000	83657
X	NW_023496845.1	13739618	19	3143062	3314873	171812	125000	79194
X	NW_023496845.1	13739618	20	3314874	3472349	157476	125000	81092
X	NW_023496845.1	13739618	21	3472350	3658670	186321	125000	80767
X	NW_023496845.1	13739618	22	3658671	3829550	170880	125000	76759
X	NW_023496845.1	13739618	23	3829551	3991887	162337	125000	79896
X	NW_023496845.1	13739618	24	3991888	4158042	166155	125000	77465
X	NW_023496845.1	13739618	25	4158043	4342614	184572	125000	70031
X	NW_023496845.1	13739618	26	4342615	4512219	169605	125000	71863
X	NW_023496845.1	13739618	27	4512220	4679487	167268	125000	74452
X	NW_023496845.1	13739618	28	4679488	4850383	170896	125000	77504
X	NW_023496845.1	13739618	29	4850384	5014539	164156	125000	74624
X	NW_023496845.1	13739618	30	5014540	5173309	158770	125000	73072
X	NW_023496845.1	13739618	31	5173310	5356886	183577	125000	75613
X	NW_023496845.1	13739618	32	5356887	5531772	174886	125000	77514
X	NW_023496845.1	13739618	33	5531773	5692914	161142	125000	80220
X	NW_023496845.1	13739618	34	5692915	5858018	165104	125000	80515
X	NW_023496845.1	13739618	35	5858019	6024663	166645	125000	78217
X	NW_023496845.1	13739618	36	6024664	6188941	164278	125000	76169
X	NW_023496845.1	13739618	37	6188942	6355353	166412	125000	72766
X	NW_023496845.1	13739618	38	6355354	6572856	217503	125000	72104
X	NW_023496845.1	13739618	39	6572857	6741486	168630	125000	75912
X	NW_023496845.1	13739618	40	6741487	6924813	183327	125000	73043
X	NW_023496845.1	13739618	41	6924814	7097973	173160	125000	76486
X	NW_023496845.1	13739618	42	7097974	7260300	162327	125000	79018
X	NW_023496845.1	13739618	43	7260301	7430574	170274	125000	78737
X	NW_023496845.1	13739618	44	7430575	7607762	177188	125000	77729
X	NW_023496845.1	13739618	45	7607763	7788002	180240	125000	75921
X	NW_023496845.1	13739618	46	7788003	7968274	180272	125000	81274
X	NW_023496845.1	13739618	47	7968275	8145079	176805	125000	77843
X	NW_023496845.1	13739618	48	8145080	8312149	167070	125000	77700
X	NW_023496845.1	13739618	49	8312150	8483909	171760	125000	78042
X	NW_023496845.1	13739618	50	8483910	8641984	158075	125000	77227
X	NW_023496845.1	13739618	51	8641985	8811486	169502	125000	76778
X	NW_023496845.1	13739618	52	8811487	8993321	181835	125000	78109
X	NW_023496845.1	13739618	53	8993322	9161945	168624	125000	75671
X	NW_023496845.1	13739618	54	9161946	9328843	166898	125000	80262
X	NW_023496845.1	13739618	55	9328844	9506156	177313	125000	77927
X	NW_023496845.1	13739618	56	9506157	9692815	186659	125000	76974
X	NW_023496845.1	13739618	57	9692816	9880993	188178	125000	76771
X	NW_023496845.1	13739618	58	9880994	10057928	176935	125000	78042
X	NW_023496845.1	13739618	59	10057929	10254414	196486	125000	76978
X	NW_023496845.1	13739618	60	10254415	10455260	200846	125000	77414
X	NW_023496845.1	13739618	61	10455261	10626840	171580	125000	75979
X	NW_023496845.1	13739618	62	10626841	10805590	178750	125000	76320
X	NW_023496845.1	13739618	63	10805591	11014283	208693	125000	79142
X	NW_023496845.1	13739618	64	11014284	11208381	194098	125000	77573
X	NW_023496845.1	13739618	65	11208382	11424755	216374	125000	81372
X	NW_023496845.1	13739618	66	11424756	11644641	219886	125000	73764
X	NW_023496845.1	13739618	67	11644642	11852500	207859	125000	77367
X	NW_023496845.1	13739618	68	11852501	12055551	203051	125000	80382
X	NW_023496845.1	13739618	69	12055552	12236721	181170	125000	79970
X	NW_023496845.1	13739618	70	12236722	12416824	180103	125000	76075
X	NW_023496845.1	13739618	71	12416825	12605525	188701	125000	76106
X	NW_023496845.1	13739618	72	12605526	12931492	325967	125000	81043
X	NW_023496845.1	13739618	73	12931493	13132433	200941	125000	73722
X	NW_023496845.1	13739618	74	13132434	13309388	176955	125000	73264
X	NW_023496845.1	13739618	75	13309389	13500292	190904	125000	79900
X	NW_023496845.1	13739618	76	13500293	13698009	197717	125000	79526
2R	NW_023496807.1	14656957	0	1	231528	231528	125000	73832
2R	NW_023496807.1	14656957	1	231529	401684	170156	125000	72900
2R	NW_023496807.1	14656957	2	401685	551952	150268	125000	70093
2R	NW_023496807.1	14656957	3	551953	719166	167214	125000	76121
2R	NW_023496807.1	14656957	4	719167	880542	161376	125000	82952
2R	NW_023496807.1	14656957	5	880543	1062868	182326	125000	85660
2R	NW_023496807.1	14656957	6	1062869	1224357	161489	125000	78754
2R	NW_023496807.1	14656957	7	1224358	1378863	154506	125000	83782
2R	NW_023496807.1	14656957	8	1378864	1550307	171444	125000	85156
2R	NW_023496807.1	14656957	9	1550308	1726599	176292	125000	83574
